&a / °	I1 / %
-0.182	26.4
-0.187	27.4
-0.193	28.4
-0.198	29.2
-0.203	30.1
-0.209	31.0
-0.214	31.9
-0.219	32.8
-0.225	33.7
-0.230	34.7
-0.235	35.5
-0.241	36.3
-0.246	37.1
-0.251	37.8
-0.257	38.7
-0.262	39.6
-0.267	39.8
-0.273	39.7
-0.278	39.7
-0.283	40.8
-0.289	42.7
-0.294	44.5
-0.299	45.9
-0.305	46.7
-0.310	47.1
-0.316	47.2
-0.321	47.2
-0.326	46.8
-0.332	46.4
-0.337	45.7
-0.342	44.8
-0.348	43.6
-0.353	42.2
-0.358	40.5
-0.364	38.8
-0.369	36.8
-0.374	34.8
-0.380	32.8
-0.385	30.7
-0.390	28.4
-0.396	26.3
-0.401	24.3
-0.406	22.4
-0.412	20.8
-0.417	19.2
-0.422	17.8
-0.428	16.5
-0.433	15.3
-0.438	14.1
-0.444	13.2
-0.449	12.4
-0.455	11.6
-0.460	10.8
-0.465	10.2
-0.471	9.6
-0.476	9.2
-0.481	8.8
-0.487	8.3
-0.492	7.9
-0.497	7.5
-0.503	7.1
-0.508	6.8
-0.513	6.4
-0.519	6.3
-0.524	6.0
-0.529	5.9
-0.535	5.6
-0.540	5.5
-0.545	5.2
-0.551	5.0
-0.556	4.7
-0.561	4.5
-0.567	4.4
-0.572	4.4
-0.578	4.4
-0.583	4.4
-0.588	4.2
-0.594	4.2
-0.599	4.0
-0.604	4.0
-0.610	4.0
-0.615	4.0
-0.620	4.0
-0.626	4.0
-0.631	4.0
-0.636	4.0
-0.642	4.0
-0.647	4.0
-0.652	4.0
-0.658	4.0
-0.663	3.9
-0.668	3.9
-0.674	3.9
-0.679	3.9
-0.684	3.8
-0.690	3.7
-0.695	3.7
-0.701	3.7
-0.706	3.6
-0.711	3.6
-0.717	3.6
-0.722	3.6
-0.727	3.6
-0.733	3.6
-0.738	3.6
-0.743	3.6
-0.749	3.7
-0.754	4.0
-0.759	4.0
-0.765	4.0
-0.770	4.0
-0.775	4.4
-0.781	4.7
-0.786	4.9
-0.791	5.2
-0.797	5.6
-0.802	5.7
-0.807	6.0
-0.813	6.4
-0.818	6.8
-0.823	7.2
-0.829	7.8
-0.834	8.6
-0.840	9.4
-0.845	10.2
-0.850	11.4
-0.856	12.5
-0.861	14.0
-0.866	15.5
-0.872	17.2
-0.877	19.1
-0.882	21.2
-0.888	23.6
-0.893	26.4
-0.898	29.1
-0.904	32.0
-0.909	34.8
-0.914	37.4
-0.920	39.6
-0.925	40.8
-0.930	40.9
-0.936	39.7
-0.941	37.4
-0.946	34.4
-0.952	30.7
