&a / °	I1 / %
0.011	14.0
0.005	14.0
0.000	14.0
-0.005	14.0
-0.011	14.0
-0.016	14.0
-0.021	14.0
-0.027	13.9
-0.032	13.9
-0.037	13.9
-0.043	14.0
-0.048	14.3
-0.053	14.4
-0.059	14.5
-0.064	14.7
-0.070	15.1
-0.075	15.2
-0.080	15.5
-0.086	15.9
-0.091	16.0
-0.096	16.2
-0.102	16.3
-0.107	16.4
-0.112	16.7
-0.118	17.0
-0.123	17.5
-0.128	18.0
-0.134	18.4
-0.139	18.8
-0.144	19.2
-0.150	19.6
-0.155	20.0
-0.160	20.4
-0.166	21.1
-0.171	21.5
-0.176	21.9
-0.182	22.4
-0.187	23.2
-0.193	24.0
-0.198	25.0
-0.203	25.8
-0.209	26.6
-0.214	27.5
-0.219	28.3
-0.225	29.2
-0.230	30.1
-0.235	31.1
-0.241	31.9
-0.246	32.7
-0.251	33.5
-0.257	34.5
-0.262	35.4
-0.267	35.9
-0.273	36.1
-0.278	36.5
-0.283	37.8
-0.289	39.8
-0.294	42.0
-0.299	43.8
-0.305	45.1
-0.310	46.2
-0.316	47.1
-0.321	47.8
-0.326	48.3
-0.332	48.7
-0.337	48.8
-0.342	48.7
-0.348	48.4
-0.353	47.8
-0.358	46.8
-0.364	45.6
-0.369	44.0
-0.374	42.4
-0.380	40.5
-0.385	38.4
-0.390	36.0
-0.396	33.6
-0.401	31.2
-0.406	29.1
-0.412	27.1
-0.417	25.1
-0.422	23.2
-0.428	21.4
-0.433	19.8
-0.438	18.3
-0.444	17.0
-0.449	15.7
-0.455	14.5
-0.460	13.5
-0.465	12.7
-0.471	11.8
-0.476	11.1
-0.481	10.5
-0.487	9.9
-0.492	9.5
-0.497	8.8
-0.503	8.3
-0.508	7.9
-0.513	7.5
-0.519	7.1
-0.524	6.8
-0.529	6.7
-0.535	6.3
-0.540	6.2
-0.545	5.9
-0.551	5.7
-0.556	5.5
-0.561	5.2
-0.567	5.1
-0.572	4.9
-0.578	4.7
-0.583	4.5
-0.588	4.3
-0.594	4.3
-0.599	4.3
-0.604	4.3
-0.610	4.3
-0.615	4.3
-0.620	4.3
-0.626	4.3
-0.631	4.2
-0.636	4.2
-0.642	4.1
-0.647	4.0
-0.652	4.0
-0.658	4.0
-0.663	3.9
-0.668	3.9
-0.674	3.9
-0.679	3.9
-0.684	3.9
-0.690	3.9
-0.695	3.9
-0.701	3.9
-0.706	3.9
-0.711	3.9
-0.717	3.9
-0.722	3.9
-0.727	3.9
-0.733	3.9
-0.738	3.9
-0.743	3.9
-0.749	3.9
-0.754	3.9
-0.759	3.9
-0.765	3.9
-0.770	4.0
-0.775	4.3
-0.781	4.5
-0.786	4.7
-0.791	4.9
-0.797	5.2
-0.802	5.5
-0.807	5.7
-0.813	5.9
-0.818	6.3
-0.823	6.7
-0.829	7.1
-0.834	7.5
-0.840	8.3
-0.845	9.1
-0.850	9.9
-0.856	10.8
-0.861	12.0
-0.866	13.1
-0.872	14.7
-0.877	16.3
-0.882	18.2
-0.888	20.2
-0.893	22.7
-0.898	25.4
-0.904	28.3
-0.909	31.3
-0.914	34.4
-0.920	37.3
-0.925	39.8
-0.930	41.5
-0.936	42.1
-0.941	41.6
-0.946	40.1
-0.952	37.4
-0.957	33.8
-0.962	29.7
-0.968	25.7
-0.973	21.8
-0.979	18.6
-0.984	15.7
-0.989	13.5
-0.995	11.7
-1.000	10.3
-1.005	9.1
-1.011	8.1
-1.016	7.3
-1.021	6.7
-1.027	6.2
-1.032	5.7
-1.037	5.2
-1.043	4.8
-1.048	4.4
-1.053	4.3
-1.059	4.3
-1.064	4.1
-1.069	3.9
-1.075	3.9
-1.080	3.9
-1.085	3.9
-1.091	3.9
-1.096	3.9
-1.101	3.8
-1.107	3.7
-1.112	3.7
-1.118	3.7
-1.123	3.7
-1.128	3.7
-1.134	3.7
-1.139	3.7
-1.144	3.7
-1.150	3.7
-1.155	3.9
-1.160	3.9
-1.166	3.9
-1.171	4.2
-1.176	4.5
-1.182	4.9
-1.187	5.3
-1.192	5.7
-1.198	6.1
-1.203	6.8
-1.208	7.5
-1.214	8.3
-1.219	9.4
-1.224	10.7
-1.230	12.2
-1.235	13.9
-1.240	15.9
-1.246	18.3
-1.251	20.9
-1.256	24.1
-1.262	27.3
-1.267	30.9
-1.273	34.2
-1.278	36.6
-1.283	37.8
-1.289	37.0
-1.294	34.4
-1.299	30.4
-1.305	25.8
-1.310	21.3
-1.315	17.4
-1.321	14.2
-1.326	11.8
-1.331	9.9
-1.337	8.4
-1.342	7.3
-1.347	6.5
-1.353	5.9
-1.358	5.4
-1.363	4.9
-1.369	4.5
-1.374	4.3
-1.379	4.0
-1.385	3.9
-1.390	3.9
-1.395	3.9
-1.401	3.9
-1.406	3.9
-1.411	3.8
-1.417	3.8
-1.422	3.6
-1.428	3.6
-1.433	3.6
-1.438	3.6
-1.444	3.6
-1.449	3.6
-1.454	3.7
-1.460	3.9
-1.465	3.9
-1.470	4.3
-1.476	4.7
-1.481	5.3
-1.486	5.9
-1.492	6.7
-1.497	7.8
-1.502	9.0
-1.508	10.4
-1.513	12.0
-1.518	14.2
-1.524	16.7
-1.529	19.5
-1.534	22.8
-1.540	26.3
-1.545	29.9
-1.550	32.7
-1.556	34.2
-1.561	33.2
-1.566	30.2
-1.572	25.6
-1.577	20.9
-1.582	16.7
-1.588	13.4
-1.593	10.7
-1.599	8.7
-1.604	7.4
-1.609	6.3
-1.615	5.5
-1.620	4.8
-1.625	4.4
-1.631	4.2
-1.636	3.9
-1.641	3.9
-1.647	3.7
-1.652	3.6
-1.657	3.6
-1.663	3.5
-1.668	3.5
-1.673	3.5
-1.679	3.5
-1.684	3.5
-1.689	3.5
-1.695	3.5
-1.700	3.6
-1.705	3.9
-1.711	3.9
-1.716	4.3
-1.721	4.8
-1.727	5.5
-1.732	6.3
-1.737	7.5
-1.743	9.1
-1.748	10.8
-1.753	13.1
-1.759	15.7
-1.764	18.6
-1.769	21.8
-1.775	25.0
-1.780	27.8
-1.786	29.3
-1.791	28.8
-1.796	25.9
-1.802	21.9
-1.807	17.9
-1.812	14.3
-1.818	11.2
-1.823	9.1
-1.828	7.5
-1.834	6.3
-1.839	5.3
-1.844	4.7
-1.850	4.3
-1.855	3.9
-1.860	3.9
-1.866	3.6
-1.871	3.5
-1.876	3.5
-1.882	3.5
-1.887	3.4
-1.892	3.4
-1.898	3.4
-1.903	3.4
-1.908	3.5
-1.914	3.5
-1.919	3.9
-1.924	4.0
-1.930	4.4
-1.935	5.1
-1.940	5.9
-1.946	7.0
-1.951	8.3
-1.956	10.0
-1.962	12.3
-1.967	15.0
-1.972	18.0
-1.978	21.2
-1.983	24.2
-1.989	26.3
-1.994	26.7
-1.999	24.8
-2.005	21.2
-2.010	16.8
-2.015	13.1
-2.021	9.9
-2.026	7.9
-2.031	6.2
-2.037	5.1
-2.042	4.3
-2.047	3.9
-2.053	3.5
-2.058	3.2
-2.063	3.1
-2.069	3.1
-2.074	3.1
-2.079	3.1
-2.085	3.1
-2.090	3.1
-2.095	3.1
-2.101	3.1
-2.106	3.3
-2.111	3.6
-2.117	3.9
-2.122	4.3
-2.127	5.1
-2.133	5.9
-2.138	7.0
-2.143	8.4
-2.149	10.3
-2.154	13.0
-2.159	15.9
-2.165	19.1
-2.170	21.8
-2.175	23.5
-2.181	23.4
-2.186	21.2
